Liste des candidats,Voix,% Inscrits,% Exprimés
M. Emmanuel MACRON,9 785 578,"20,07","27,84"
Mme Marine LE PEN,8 136 369,"16,69","23,15"
M. Jean-Luc MÉLENCHON,7 714 949,"15,83","21,95"
M. Éric ZEMMOUR,2 485 935,"5,1","7,07"
Mme Valérie PÉCRESSE,1 679 470,"3,45","4,78"
M. Yannick JADOT,1 628 337,"3,34","4,63"
M. Jean LASSALLE,1 101 690,"2,26","3,13"
M. Fabien ROUSSEL,802 615,"1,65","2,28"
M. Nicolas DUPONT-AIGNAN,725 356,"1,49","2,06"
Mme Anne HIDALGO,616 651,"1,26","1,75"
M. Philippe POUTOU,268 984,"0,55","0,77"
Mme Nathalie ARTHAUD,197 184,"0,4","0,56"
